,"08,19,2014","08,21,2014","08,22,2014","08,25,2014","08,26,2014","08,27,2014","08,28,2014","09,01,2014","09,02,2014","09,03,2014","09,04,2014","09,08,2014","09,09,2014","09,10,2014","09,11,2014","09,15,2014","09,16,2014","09,17,2014","09,18,2014","09,22,2014","09,23,2014","09,24,2014","09,25,2014","09,29,2014","09,30,2014","10,01,2014","10,02,2014","10,06,2014","10,07,2014","10,08,2014","10,09,2014","10,13,2014","10,14,2014","10,15,2014","10,16,2014","10,20,2014","10,21,2014","10,22,2014","10,23,2014","10,27,2014","10,28,2014","10,29,2014","10,30,2014","11,03,2014","11,04,2014","11,05,2014","11,06,2014","11,10,2014","11,11,2014","11,12,2014","11,13,2014","11,17,2014","11,18,2014","11,19,2014","11,20,2014","12,01,2014","12,02,2014","12,03,2014","12,04,2014","12,08,2014","12,09,2014","12,10,2014","12,11,2014","12,15,2014","12,16,2014","12,17,2014","12,18,2014","12,19,2014"
600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.55,7.25,8.32,
26700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,
27060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
27420,0.00,6.88,0.00,5.68,0.00,0.00,8.45,7.97,8.27,9.52,6.22,5.03,6.13,8.40,0.00,8.92,8.20,9.03,6.70,0.00,6.23,4.90,6.77,7.33,3.62,0.00,4.90,8.07,9.30,4.22,5.47,6.03,6.53,0.00,4.58,8.70,8.92,0.00,7.95,0.00,7.07,9.55,9.55,0.00,9.07,0.00,4.53,9.98,8.07,0.00,9.02,0.00,0.00,0.00,0.00,6.78,8.60,6.97,0.00,0.00,9.92,0.00,9.90,0.00,0.00,8.28,0.00,
28080,0.00,-4.12,0.00,4.98,6.32,5.02,6.37,-3.03,8.92,7.30,7.37,8.90,7.80,4.50,9.03,3.08,7.75,9.83,0.58,9.88,6.30,2.13,2.13,2.60,7.33,6.22,7.20,4.98,2.28,2.08,8.62,3.32,2.97,2.12,3.55,9.13,4.70,1.80,3.05,3.48,3.95,2.55,2.58,2.07,3.92,2.35,0.75,3.82,2.15,2.37,1.60,3.88,6.55,2.97,1.93,-4.22,2.18,8.92,7.83,2.28,3.02,0.78,2.75,7.55,5.37,8.58,7.77,
28500,0.00,7.15,6.28,-2.02,-0.68,-1.98,-0.63,0.00,1.92,0.30,9.45,1.90,0.80,-2.50,2.03,-3.92,0.75,2.83,0.00,2.88,-0.70,-4.87,-4.87,-4.40,0.33,9.43,0.20,-2.02,7.63,-4.92,6.70,9.73,-4.03,-4.88,-3.45,2.13,-2.30,0.00,8.62,-3.52,-3.05,-4.45,4.07,9.92,9.70,9.22,0.00,8.92,7.97,-4.63,0.00,9.77,8.65,6.67,7.13,9.13,-4.82,8.88,9.33,-4.72,-3.98,8.80,8.27,6.70,9.52,7.12,4.63,
29340,0.00,0.00,0.00,7.08,5.10,7.85,6.03,6.48,3.70,6.05,5.92,4.80,0.00,6.60,5.13,6.52,7.90,6.48,4.68,8.67,4.77,5.97,5.20,7.90,6.30,7.72,8.20,6.72,6.52,5.70,5.40,5.55,-2.48,6.52,-2.25,6.18,8.60,8.73,6.48,6.58,8.15,7.02,7.18,6.50,8.25,7.32,5.68,8.65,7.03,6.95,7.57,7.92,7.05,8.23,6.00,7.95,7.42,0.00,6.88,6.18,7.92,7.18,8.28,4.48,5.20,7.85,8.80,
30240,0.00,9.72,0.00,0.00,0.00,9.12,6.35,0.00,7.32,4.63,6.02,7.10,5.10,5.85,7.50,6.35,-2.37,6.45,5.62,4.60,7.13,5.88,5.48,6.58,5.57,5.95,7.03,6.62,4.18,6.18,4.92,7.35,9.65,6.15,7.28,6.27,5.93,6.07,6.73,6.10,6.33,6.82,6.07,7.37,5.80,6.25,5.33,5.03,6.77,8.25,6.85,8.43,7.08,6.80,8.28,7.32,5.93,5.83,4.73,-2.53,6.37,7.20,6.33,6.97,7.98,9.27,9.00,
31140,0.00,0.00,-3.08,7.92,7.45,0.00,9.18,6.72,4.87,7.18,6.18,8.47,7.00,9.58,9.53,7.28,5.20,9.18,5.80,0.00,5.37,7.73,5.93,6.67,4.63,8.90,5.53,6.13,3.10,7.58,3.57,8.75,4.13,5.08,9.02,9.63,0.00,7.07,3.58,6.17,3.60,8.28,5.05,8.22,4.90,7.15,5.20,8.72,3.75,7.52,5.32,6.97,2.90,8.18,5.73,9.18,4.40,5.67,4.53,-4.85,4.62,7.32,5.83,8.18,-2.17,7.95,7.67,
31560,0.00,0.00,0.00,0.92,0.45,0.00,2.18,-0.28,-2.13,0.18,-0.82,1.47,0.00,2.58,2.53,0.28,-1.80,2.18,-1.20,3.25,-1.63,0.73,-1.07,-0.33,-2.37,1.90,-1.47,-0.87,-3.90,0.58,-3.43,1.75,-2.87,-1.92,2.02,2.63,5.95,0.07,-3.42,-0.83,-3.40,1.28,-1.95,1.22,-2.10,0.15,-1.80,1.72,-3.25,0.52,-1.68,-0.03,-4.10,1.18,-1.27,4.82,-2.60,-1.33,-2.47,4.33,-2.38,0.32,-1.17,1.18,3.25,0.95,0.67,
