ID,Route,Time,Stop
1,A1,7:22 AM,Load
2,A1,7:25 AM,Stadium
3,A1,7:32 AM,Well's Library
4,A1,7:34 AM,3rd & Jordan
5,A1,---,IMU
6,A1,7:41 AM,Stadium ()
7,A1,7:46 AM,Load
8,A1,7:49 AM,Stadium
9,A1,7:56 AM,Well's Library
10,A1,7:58 AM,3rd & Jordan
11,A1,---,IMU
12,A1,8:05 AM,Stadium ()
13,A1,8:17 AM,Load
14,A1,8:20 AM,Stadium
15,A1,8:27 AM,Well's Library
16,A1,8:29 AM,3rd & Jordan
17,A1,8:39 AM,IMU
18,A1,8:47 AM,Stadium ()
19,A1,8:52 AM,Load
20,A1,8:55 AM,Stadium
21,A1,9:02 AM,Well's Library
22,A1,9:04 AM,3rd & Jordan
23,A1,9:14 AM,IMU
24,A1,9:22 AM,Stadium ()
25,A1,9:44 AM,Load
26,A1,9:47 AM,Stadium
27,A1,9:54 AM,Well's Library
28,A1,9:56 AM,3rd & Jordan
29,A1,10:06 AM,IMU
30,A1,10:14 AM,Stadium ()
31,A1,10:26 AM,Load
32,A1,10:29 AM,Stadium
33,A1,10:36 AM,Well's Library
34,A1,10:38 AM,3rd & Jordan
35,A1,10:48 AM,IMU
36,A1,10:56 AM,Stadium ()
37,A1,11:04 AM,Load
38,A1,11:07 AM,Stadium
39,A1,11:14 AM,Well's Library
40,A1,11:16 AM,3rd & Jordan
41,A1,11:26 AM,IMU
42,A1,11:34 AM,Stadium ()
43,A1,11:54 AM,Load
44,A1,11:57 AM,Stadium
45,A1,12:04 PM,Well's Library
46,A1,12:06 PM,3rd & Jordan
47,A1,12:16 PM,IMU
48,A1,12:24 PM,Stadium ()
49,A1,12:37 PM,Load
50,A1,12:40 PM,Stadium
51,A1,12:47 PM,Well's Library
52,A1,12:49 PM,3rd & Jordan
53,A1,12:59 PM,IMU
54,A1,1:07 PM,Stadium ()
55,A1,1:15 PM,Load
56,A1,1:18 PM,Stadium
57,A1,1:25 PM,Well's Library
58,A1,1:27 PM,3rd & Jordan
59,A1,1:37 PM,IMU
60,A1,1:45 PM,Stadium ()
61,A1,2:03 PM,Load
62,A1,2:06 PM,Stadium
63,A1,2:13 PM,Well's Library
64,A1,2:15 PM,3rd & Jordan
65,A1,2:25 PM,IMU
66,A1,2:33 PM,Stadium ()
67,A1,2:49 PM,Load
68,A1,2:52 PM,Stadium
69,A1,2:59 PM,Well's Library
70,A1,3:01 PM,3rd & Jordan
71,A1,3:11 PM,IMU
72,A1,3:19 PM,Stadium ()
73,A1,3:29 PM,Load
74,A1,3:32 PM,Stadium
75,A1,3:39 PM,Well's Library
