ID,Stop,Latitude,Longitude,
1,Well's Library,39.17152,-86.516632,
2,,,,
3,,,,
4,Neal Marshall,39.167984,-86.516174,
5,,,,
6,3rd & Jordan,39.164314,-86.517448,
7,,,,
8,Jordan Hall,39.164288,-86.521561,
9,,,,
10,Maurer School of Law,39.164326,-86.526703,
11,Kirkwood & Indiana,39.166397,-86.526878,
12,IMU,39.16843,-86.523933,
13,10th & Woodlawn,39.171459,-86.52346,
14,Psychology,39.171577,-86.521103,
15,,,,
16,SRSC (),39.1744,-86.514801,
17,,,,
18,,,,
19,,,,
20,Phi Kappa Sigma (),39.179581,-86.51088,
21,Chi Omega (),39.181,-86.511101,
22,Balfour (),39.182362,-86.512444,
23,ZBT(),39.183548,-86.51445,
24,Fisher Court (),39.184029,-86.516808,
25,ZBT,39.183517,-86.51458,
26,Balfour,39.182404,-86.51268,
27,Kappa Sigma,39.180801,-86.5112,
28,Jordan & 7th,39.179066,-86.511002,
29,Lingelbach,39.1772,-86.512604,
30,Foster,39.175671,-86.518944,
31,Kappa Delta,39.17458,-86.514847,
32,,,,
33,10th & Jordan,39.171673,-86.515701,
34,Briscoe (),39.178177,-86.518814,
35,Assembly Hall (),39.178997,-86.521835,
36,Kelley School (),39.172501,-86.51889,
37,McNutt,39.175674,-86.519043,
38,Briscoe,39.178226,-86.518921,
39,Alumni Center,39.179001,-86.521576,
40,Stadium (NA),39.180511,-86.527962,
41,Kelley School,39.172874,-86.518997,
42,10th & Sunrise,39.171501,-86.512497,
43,,,,
44,,,,
45,Wilkie,39.166157,-86.510994,
46,Forest,39.164345,-86.512802,
47,Evermann,39.177689,-86.508217,
48,Bicknell,39.176765,-86.509048,
49,,,,
50,Campus View,39.173618,-86.509789,
51,Union & 10th,39.170609,-86.509537,
52,Union & 7th,39.1684,-86.509529,
53,,,,
54,,,,
55,School of Education,39.16848,-86.512459,
56,,,,
57,7th & Union,39.168041,-86.510498,7th & Union()
58,Eigenmann,39.17091,-86.509354,
59,Campus View (),39.173183,-86.50956,
60,Hepburn Apartment,39.175934,-86.509888,
61,Bicknell (),39.176697,-86.508949,
62,Evermann Redbud,39.177795,-86.507042,
63,,,,
64,I M U (X),39.168499,-86.5215,
65,Auditorium,39.168472,-86.518692,
66,Jackson Creek,39.155582,-86.495979,
67,Stadium (A),39.180435,-86.527954,
68,Stadium (),39.179543,-86.526588,
69,,,,
70,,,,
71,Evermann (),39.177765,-86.508263,
72,Stadium Staging (NA),39.180553,-86.527962,
73,,,,
74,,,,
75,Lingelbach (),39.177116,-86.512474,
76,Stadium (x),39.180202,-86.52787,
77,,,,
78,Auditorium (X),39.16861,-86.518608,
79,Von Lee,39.166599,-86.527298,
80,Nick's,39.16663,-86.529022,
81,Kirkwood and Walnut,39.16666,-86.532959,
82,7th & Washington,39.16848,-86.532494,
83,Poplars Garage,39.167694,-86.528313,
84,,,,
85,test 1 (NA),39.167759,-86.516159,
86,,,,
87,Jordan Garage,39.167393,-86.515915,
88,10th and Jordan (),39.171436,-86.515572,
89,College Mall (),39.163254,-86.49826,
90,College Mall,39.162212,-86.49781,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,Atwater Garage,39.163399,-86.522575,
97,,,,
98,,,,
99,Fisher Court,39.184006,-86.516914,
100,Bonefish Grill (NA),39.906681,-86.093376,
101,Marsh (NA),39.905029,-86.081696,
102,"Inbound A, Library Detour (NA)",39.170429,-86.516052,
103,7th and Sunrise,39.168575,-86.512344,
104,Tulip Tree Apartments (NA),39.17281,-86.504875,
105,"10th and Jordan, Tulip Tree Detour (Inbound) (NA)",39.172012,-86.515564,
106,College Mall End (NA),39.155388,-86.496002,
107,Nutt Apartment (),39.175804,-86.509926,
108,Poplars,39.168472,-86.528999,
109,DoubleMap Visibility Test,39.16431,-86.523567,
110,Chi Omega,39.171692,-86.517937,
111,17th and Fee,39.179012,-86.519218,
112,Jordan and Law Lane,39.173496,-86.515465,
113,Wells Library Jordan,39.171669,-86.515656,
114,19th and Dunn,39.181,-86.528381,
115,McNutt Turnaround,39.176701,-86.519135,
116,Memorial Hall,39.164314,-86.519669,
117,7th and Jordan,39.16888,-86.515991,
118,7th & Woodlawn,39.168621,-86.523613,
119,Walnut and First,39.159332,-86.533661,
120,Bus Barn,39.153393,-86.535103,
121,Walnut and Second,39.161346,-86.533684,
122,Second and College,39.161346,-86.534927,
123,College and First,39.159348,-86.534973,
124,test kyle,39.172226,-86.51403,
125,Orange Lot,39.180443,-86.523941,
126,Rawles Hall,39.164333,-86.523491,
127,IU Foundation,39.184464,-86.512878,
128,Mathers Museum,39.16993,-86.526932,
129,Kelley School - Law Ln Detour,39.173622,-86.516945,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
