Date,Start Time Schedule,Start Time Actual,Variance,Inbound,Outbound,TotalRidership,TotalPrecipitation
10/15/2014,16:46:00,18:22:02,96.0333333333,NA, NA, NA,0.32
10/15/2014,17:11:00,18:45:34,94.5666666667,NA, NA, NA,0.32
10/15/2014,17:00:00,18:33:42,93.7,NA, NA, NA,0.32
10/15/2014,16:55:00,18:22:02,87.0333333333,NA, NA, NA,0.32
10/7/2014,18:41:00,19:56:30,75.5,NA, NA, NA,0.58
10/7/2014,18:30:00,19:44:08,74.1333333333,NA, NA, NA,0.58
10/8/2014,16:51:00,18:01:42,70.7,NA, NA, NA,0
10/28/2014,16:43:00,17:52:35,69.5833333333,NA, NA, NA,1.01
10/8/2014,17:02:00,18:09:56,67.9333333333,NA, NA, NA,0
10/7/2014,18:50:00,19:56:30,66.5,NA, NA, NA,0.58
10/28/2014,16:54:00,18:00:13,66.2166666667,NA, NA, NA,1.01
10/7/2014,18:39:00,19:44:08,65.1333333333,NA, NA, NA,0.58
9/2/2014,13:36:00,14:39:50,63.8333333333,NA, NA, NA,2.55
10/8/2014,16:46:00,17:49:32,63.5333333333,NA, NA, NA,0
10/8/2014,17:00:00,18:01:42,61.7,NA, NA, NA,0
10/7/2014,19:00:00,20:00:17,60.2833333333,NA, NA, NA,0.58
10/28/2014,16:38:00,17:37:13,59.2166666667,NA, NA, NA,1.01
10/8/2014,17:11:00,18:09:56,58.9333333333,NA, NA, NA,0
11/17/2014,17:11:00,18:09:44,58.7333333333,NA, NA, NA,0.03
9/2/2014,13:42:00,14:39:50,57.8333333333,NA, NA, NA,2.55
10/7/2014,19:11:00,20:08:05,57.0833333333,NA, NA, NA,0.58
9/25/2014,16:11:00,17:07:07,56.1166666667,NA, NA, NA,0
9/25/2014,16:22:00,17:17:01,55.0166666667,NA, NA, NA,0
10/7/2014,18:56:00,19:50:37,54.6166666667,NA, NA, NA,0.58
10/8/2014,16:55:00,17:49:32,54.5333333333,NA, NA, NA,0
9/2/2014,13:25:00,14:19:22,54.3666666667,NA, NA, NA,2.55
10/7/2014,19:10:00,20:02:56,52.9333333333,NA, NA, NA,0.58
8/28/2014,13:49:00,14:41:00,52,NA, NA, NA,0
9/2/2014,12:21:00,13:13:00,52,NA, NA, NA,2.55
11/18/2014,13:44:00,14:35:58,51.9666666667,NA, NA, NA,0
11/17/2014,17:18:00,18:09:44,51.7333333333,NA, NA, NA,0.03
11/11/2014,13:55:00,14:46:28,51.4666666667,NA, NA, NA,0.04
11/12/2014,13:44:00,14:35:08,51.1333333333,NA, NA, NA,0
9/25/2014,16:16:00,17:07:07,51.1166666667,NA, NA, NA,0
9/2/2014,20:12:00,21:03:02,51.0333333333,NA, NA, NA,2.55
10/9/2014,13:55:00,14:45:41,50.6833333333,NA, NA, NA,0.01
11/18/2014,13:55:00,14:45:30,50.5,NA, NA, NA,0
9/10/2014,13:44:00,14:34:27,50.45,NA, NA, NA,0.77
9/9/2014,13:49:00,14:39:23,50.3833333333,NA, NA, NA,0
9/25/2014,16:08:00,16:58:21,50.35,NA, NA, NA,0
11/13/2014,13:55:00,14:45:09,50.15,NA, NA, NA,0
9/10/2014,13:55:00,14:45:07,50.1166666667,NA, NA, NA,0.77
11/11/2014,13:44:00,14:34:02,50.0333333333,NA, NA, NA,0.04
9/25/2014,16:27:00,17:17:01,50.0166666667,NA, NA, NA,0
