Date,Start Time Schedule,Start Time Actual,Variance,Inbound,Outbound,TotalRidership,TotalPrecipitation
10/7/2014,19:13:00,19:57:33,44.55,NA, NA, NA,0.58
10/7/2014,19:08:00,19:49:57,41.95,NA, NA, NA,0.58
8/28/2014,20:00:00,20:32:22,32.3666666667,NA, NA, NA,0
10/28/2014,11:12:00,11:39:11,27.1833333333,NA, NA, NA,1.01
8/26/2014,15:55:00,16:20:54,25.9,NA, NA, NA,0
10/28/2014,11:08:00,11:33:23,25.3833333333,NA, NA, NA,1.01
10/28/2014,10:57:00,11:22:05,25.0833333333,NA, NA, NA,1.01
9/2/2014,12:39:00,13:01:33,22.55,NA, NA, NA,2.55
12/1/2014,17:12:00,17:34:33,22.55,NA, NA, NA,0.15
8/28/2014,20:10:00,20:32:27,22.45,NA, NA, NA,0
9/8/2014,17:36:00,17:58:11,22.1833333333,NA, NA, NA,0
10/15/2014,11:04:00,11:26:10,22.1666666667,NA, NA, NA,0.32
10/28/2014,11:04:00,11:26:00,22,NA, NA, NA,1.01
9/4/2014,15:55:00,16:16:59,21.9833333333,NA, NA, NA,0
10/6/2014,11:04:00,11:25:45,21.75,NA, NA, NA,0.26
10/27/2014,17:12:00,17:33:43,21.7166666667,NA, NA, NA,0
9/8/2014,17:12:00,17:33:20,21.3333333333,NA, NA, NA,0
10/9/2014,14:17:00,14:37:53,20.8833333333,NA, NA, NA,0.01
8/28/2014,11:04:00,11:24:07,20.1166666667,NA, NA, NA,0
9/10/2014,15:55:00,16:14:54,19.9,NA, NA, NA,0.77
8/28/2014,14:17:00,14:36:32,19.5333333333,NA, NA, NA,0
11/10/2014,11:04:00,11:23:32,19.5333333333,NA, NA, NA,0
8/27/2014,14:23:00,14:42:28,19.4666666667,NA, NA, NA,0
9/8/2014,17:30:00,17:49:27,19.45,NA, NA, NA,0
10/7/2014,14:17:00,14:36:26,19.4333333333,NA, NA, NA,0.58
10/28/2014,11:06:00,11:25:18,19.3,NA, NA, NA,1.01
9/2/2014,15:55:00,16:14:13,19.2166666667,NA, NA, NA,2.55
12/8/2014,14:23:00,14:42:11,19.1833333333,NA, NA, NA,0.06
11/10/2014,17:12:00,17:31:06,19.1,NA, NA, NA,0
12/2/2014,9:13:00,9:32:04,19.0666666667,NA, NA, NA,0
9/9/2014,14:23:00,14:41:57,18.95,NA, NA, NA,0
