Date,Start Time Schedule,Start Time Actual,Variance,Inbound,Outbound,TotalRidership,TotalPrecipitation
4/14/2015,16:55:00,16:42:11,-12.8166666667,NA, NA, NA,0
4/29/2015,16:46:00,16:33:19,-12.6833333333,NA, NA, NA,0
2/4/2015,15:25:00,15:12:22,-12.6333333333,NA, NA, NA,0.07
2/25/2015,13:59:00,13:46:34,-12.4333333333,NA, NA, NA,0
3/10/2015,16:37:00,16:24:34,-12.4333333333,NA, NA, NA,0.51
3/10/2015,17:04:00,16:51:34,-12.4333333333,NA, NA, NA,0.51
4/29/2015,18:29:00,18:16:40,-12.3333333333,NA, NA, NA,0
1/27/2015,16:55:00,16:42:41,-12.3166666667,NA, NA, NA,0
2/17/2015,16:28:00,16:15:41,-12.3166666667,NA, NA, NA,0
3/3/2015,7:49:00,7:36:41,-12.3166666667,NA, NA, NA,0.5
3/26/2015,13:59:00,13:46:44,-12.2666666667,NA, NA, NA,0.7
2/25/2015,15:25:00,15:12:49,-12.1833333333,NA, NA, NA,0
2/10/2015,13:59:00,13:46:50,-12.1666666667,NA, NA, NA,0
4/22/2015,14:53:00,14:40:50,-12.1666666667,NA, NA, NA,0
4/27/2015,10:45:00,10:33:02,-11.9666666667,NA, NA, NA,0
3/24/2015,16:55:00,16:43:04,-11.9333333333,NA, NA, NA,0.12
1/15/2015,13:59:00,13:47:05,-11.9166666667,NA, NA, NA,0
1/28/2015,13:59:00,13:47:07,-11.8833333333,NA, NA, NA,0
2/24/2015,13:59:00,13:47:07,-11.8833333333,NA, NA, NA,0
4/1/2015,13:59:00,13:47:07,-11.8833333333,NA, NA, NA,0
4/6/2015,10:45:00,10:33:07,-11.8833333333,NA, NA, NA,0
4/7/2015,18:29:00,18:17:08,-11.8666666667,NA, NA, NA,0.56
1/14/2015,10:45:00,10:33:13,-11.7833333333,NA, NA, NA,0
3/3/2015,10:27:00,10:15:13,-11.7833333333,NA, NA, NA,0.5
2/17/2015,13:59:00,13:47:16,-11.7333333333,NA, NA, NA,0
2/26/2015,13:59:00,13:47:17,-11.7166666667,NA, NA, NA,0
3/10/2015,15:43:00,15:31:18,-11.7,NA, NA, NA,0.51
2/4/2015,13:59:00,13:47:19,-11.6833333333,NA, NA, NA,0.07
4/20/2015,12:06:00,11:54:20,-11.6666666667,NA, NA, NA,0.13
4/14/2015,13:59:00,13:47:24,-11.6,NA, NA, NA,0
4/22/2015,13:59:00,13:47:25,-11.5833333333,NA, NA, NA,0
1/13/2015,8:14:00,8:02:26,-11.5666666667,NA, NA, NA,0
1/12/2015,18:29:00,18:17:27,-11.55,NA, NA, NA,0.12
4/29/2015,14:53:00,14:41:28,-11.5333333333,NA, NA, NA,0
2/17/2015,14:53:00,14:41:29,-11.5166666667,NA, NA, NA,0
4/14/2015,15:25:00,15:13:29,-11.5166666667,NA, NA, NA,0
1/13/2015,10:27:00,10:15:30,-11.5,NA, NA, NA,0
2/11/2015,10:36:00,10:24:30,-11.5,NA, NA, NA,0
4/6/2015,12:06:00,11:54:30,-11.5,NA, NA, NA,0
5/4/2015,18:54:00,18:42:33,-11.45,NA, NA, NA,0
3/25/2015,9:51:00,9:39:34,-11.4333333333,NA, NA, NA,0.47
2/10/2015,17:22:00,17:10:35,-11.4166666667,NA, NA, NA,0
2/25/2015,12:06:00,11:54:35,-11.4166666667,NA, NA, NA,0
4/28/2015,18:29:00,18:17:35,-11.4166666667,NA, NA, NA,0
3/25/2015,10:45:00,10:33:36,-11.4,NA, NA, NA,0.47
4/13/2015,10:36:00,10:24:36,-11.4,NA, NA, NA,0
4/28/2015,13:59:00,13:47:36,-11.4,NA, NA, NA,0
4/29/2015,16:37:00,16:25:36,-11.4,NA, NA, NA,0
1/29/2015,12:33:00,12:21:37,-11.3833333333,NA, NA, NA,0
2/3/2015,14:53:00,14:41:37,-11.3833333333,NA, NA, NA,0
3/31/2015,10:36:00,10:24:37,-11.3833333333,NA, NA, NA,0
1/15/2015,15:25:00,15:13:38,-11.3666666667,NA, NA, NA,0
3/4/2015,14:53:00,14:41:39,-11.35,NA, NA, NA,0.37
3/30/2015,10:54:00,10:42:40,-11.3333333333,NA, NA, NA,0
3/3/2015,8:39:00,8:27:41,-11.3166666667,NA, NA, NA,0.5
3/4/2015,10:36:00,10:24:41,-11.3166666667,NA, NA, NA,0.37
4/28/2015,8:39:00,8:27:42,-11.3,NA, NA, NA,0
2/10/2015,18:19:00,18:07:43,-11.2833333333,NA, NA, NA,0
1/13/2015,8:07:00,7:55:44,-11.2666666667,NA, NA, NA,0
1/26/2015,11:57:00,11:45:44,-11.2666666667,NA, NA, NA,0
3/10/2015,15:36:00,15:24:44,-11.2666666667,NA, NA, NA,0.51
1/29/2015,11:39:00,11:27:45,-11.25,NA, NA, NA,0
4/7/2015,8:32:00,8:20:45,-11.25,NA, NA, NA,0.56
1/20/2015,8:39:00,8:27:46,-11.2333333333,NA, NA, NA,0
1/22/2015,11:39:00,11:27:46,-11.2333333333,NA, NA, NA,0
4/7/2015,18:54:00,18:42:46,-11.2333333333,NA, NA, NA,0.56
5/6/2015,17:34:00,17:22:46,-11.2333333333,NA, NA, NA,0
1/21/2015,8:39:00,8:27:47,-11.2166666667,NA, NA, NA,0
1/28/2015,18:54:00,18:42:47,-11.2166666667,NA, NA, NA,0
3/3/2015,8:32:00,8:20:47,-11.2166666667,NA, NA, NA,0.5
4/2/2015,15:25:00,15:13:47,-11.2166666667,NA, NA, NA,0.26
4/21/2015,16:55:00,16:43:47,-11.2166666667,NA, NA, NA,0
1/14/2015,11:57:00,11:45:48,-11.2,NA, NA, NA,0
2/17/2015,13:52:00,13:40:48,-11.2,NA, NA, NA,0
4/27/2015,12:06:00,11:54:48,-11.2,NA, NA, NA,0
3/24/2015,15:52:00,15:40:49,-11.1833333333,NA, NA, NA,0.12
2/17/2015,11:57:00,11:45:50,-11.1666666667,NA, NA, NA,0
3/3/2015,15:34:00,15:22:50,-11.1666666667,NA, NA, NA,0.5
3/26/2015,16:46:00,16:34:50,-11.1666666667,NA, NA, NA,0.7
2/25/2015,10:45:00,10:33:51,-11.15,NA, NA, NA,0
4/27/2015,10:36:00,10:24:52,-11.1333333333,NA, NA, NA,0
4/15/2015,15:25:00,15:13:53,-11.1166666667,NA, NA, NA,0.19
1/20/2015,13:59:00,13:47:54,-11.1,NA, NA, NA,0
3/10/2015,17:22:00,17:10:54,-11.1,NA, NA, NA,0.51
3/31/2015,16:28:00,16:16:54,-11.1,NA, NA, NA,0
3/11/2015,18:22:00,18:10:55,-11.0833333333,NA, NA, NA,0
3/24/2015,15:25:00,15:13:55,-11.0833333333,NA, NA, NA,0.12
4/9/2015,12:06:00,11:54:55,-11.0833333333,NA, NA, NA,0.03
4/22/2015,15:25:00,15:13:55,-11.0833333333,NA, NA, NA,0
4/28/2015,12:06:00,11:54:55,-11.0833333333,NA, NA, NA,0
4/28/2015,18:22:00,18:10:55,-11.0833333333,NA, NA, NA,0
2/12/2015,15:25:00,15:13:56,-11.0666666667,NA, NA, NA,0
4/14/2015,16:48:00,16:36:56,-11.0666666667,NA, NA, NA,0
1/12/2015,18:22:00,18:10:57,-11.05,NA, NA, NA,0.12
1/27/2015,12:24:00,12:12:57,-11.05,NA, NA, NA,0
3/2/2015,8:39:00,8:27:57,-11.05,NA, NA, NA,0
3/11/2015,17:13:00,17:01:57,-11.05,NA, NA, NA,0
3/31/2015,15:25:00,15:13:57,-11.05,NA, NA, NA,0
4/6/2015,11:39:00,11:27:57,-11.05,NA, NA, NA,0
4/29/2015,17:13:00,17:01:57,-11.05,NA, NA, NA,0
4/28/2015,18:19:00,18:07:58,-11.0333333333,NA, NA, NA,0
4/29/2015,14:46:00,14:34:58,-11.0333333333,NA, NA, NA,0
1/12/2015,17:27:00,17:15:59,-11.0166666667,NA, NA, NA,0.12
2/3/2015,14:46:00,14:34:59,-11.0166666667,NA, NA, NA,0
2/3/2015,16:46:00,16:34:59,-11.0166666667,NA, NA, NA,0
2/17/2015,15:25:00,15:13:59,-11.0166666667,NA, NA, NA,0
3/24/2015,18:22:00,18:10:59,-11.0166666667,NA, NA, NA,0.12
2/18/2015,15:25:00,15:14:00,-11,NA, NA, NA,0.11
4/7/2015,15:34:00,15:23:00,-11,NA, NA, NA,0.56
4/28/2015,16:57:00,16:46:00,-11,NA, NA, NA,0
4/28/2015,17:04:00,16:53:00,-11,NA, NA, NA,0
4/29/2015,18:22:00,18:11:00,-11,NA, NA, NA,0
1/14/2015,11:39:00,11:28:01,-10.9833333333,NA, NA, NA,0
1/28/2015,18:47:00,18:36:01,-10.9833333333,NA, NA, NA,0
1/29/2015,13:59:00,13:48:01,-10.9833333333,NA, NA, NA,0
2/3/2015,8:32:00,8:21:01,-10.9833333333,NA, NA, NA,0
4/1/2015,14:53:00,14:42:01,-10.9833333333,NA, NA, NA,0
4/7/2015,15:25:00,15:14:01,-10.9833333333,NA, NA, NA,0.56
4/14/2015,17:13:00,17:02:01,-10.9833333333,NA, NA, NA,0
1/26/2015,17:13:00,17:02:02,-10.9666666667,NA, NA, NA,0
2/12/2015,10:45:00,10:34:02,-10.9666666667,NA, NA, NA,0
2/24/2015,16:48:00,16:37:02,-10.9666666667,NA, NA, NA,0
3/4/2015,15:25:00,15:14:02,-10.9666666667,NA, NA, NA,0.37
3/10/2015,16:28:00,16:17:02,-10.9666666667,NA, NA, NA,0.51
4/8/2015,10:45:00,10:34:02,-10.9666666667,NA, NA, NA,0.05
4/15/2015,10:36:00,10:25:02,-10.9666666667,NA, NA, NA,0.19
4/22/2015,18:54:00,18:43:02,-10.9666666667,NA, NA, NA,0
4/29/2015,16:39:00,16:28:02,-10.9666666667,NA, NA, NA,0
5/5/2015,19:17:00,19:06:02,-10.9666666667,NA, NA, NA,0
1/27/2015,16:48:00,16:37:03,-10.95,NA, NA, NA,0
2/11/2015,14:53:00,14:42:03,-10.95,NA, NA, NA,0
2/17/2015,18:19:00,18:08:03,-10.95,NA, NA, NA,0
4/14/2015,18:19:00,18:08:03,-10.95,NA, NA, NA,0
4/21/2015,16:46:00,16:35:03,-10.95,NA, NA, NA,0
1/27/2015,17:13:00,17:02:04,-10.9333333333,NA, NA, NA,0
2/4/2015,15:18:00,15:07:04,-10.9333333333,NA, NA, NA,0.07
3/30/2015,10:47:00,10:36:04,-10.9333333333,NA, NA, NA,0
4/20/2015,10:45:00,10:34:04,-10.9333333333,NA, NA, NA,0.13
4/28/2015,16:37:00,16:26:04,-10.9333333333,NA, NA, NA,0
1/21/2015,8:32:00,8:21:05,-10.9166666667,NA, NA, NA,0
1/27/2015,8:39:00,8:28:05,-10.9166666667,NA, NA, NA,0
3/3/2015,9:01:00,8:50:05,-10.9166666667,NA, NA, NA,0.5
3/24/2015,18:29:00,18:18:05,-10.9166666667,NA, NA, NA,0.12
4/22/2015,13:52:00,13:41:05,-10.9166666667,NA, NA, NA,0
3/25/2015,12:06:00,11:55:06,-10.9,NA, NA, NA,0.47
4/29/2015,15:25:00,15:14:06,-10.9,NA, NA, NA,0
1/28/2015,15:25:00,15:14:07,-10.8833333333,NA, NA, NA,0
2/4/2015,8:32:00,8:21:07,-10.8833333333,NA, NA, NA,0.07
2/9/2015,8:07:00,7:56:07,-10.8833333333,NA, NA, NA,0
2/17/2015,16:55:00,16:44:07,-10.8833333333,NA, NA, NA,0
