Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Monday,8/25/2014,19686,20140825,92,68,80,M,71,73,0,15,FG+ FG BR HZ,M,M,M,0,29.14,30.03,0.2,3,1.9,17,60,14,40
Tuesday,8/26/2014,20506,20140826,92,67,80,M,70,72,0,15,BR VCTS,M,M,M,  T,29.18,30.07,1,33,2.5,29,360,22,350
Wednesday,8/27/2014,20964,20140827,89,67,78,M,71,73,0,13,BR,M,M,M,0,29.18,30.06,1.2,35,2.8,13,360,9,10
Thursday,8/28/2014,19552,20140828,87,66,77,M,66,70,0,12, ,M,M,M,0,29.15,30.04,2,7,2.8,11,120,8,100
Friday,8/29/2014,14442,20140829,89,71,80,M,68,71,0,15, ,M,M,M,0,29.11,29.98,6,15,6.4,26,140,16,150
Saturday,8/30/2014,4010,20140830,78,70,74,M,68,70,0,9,TSRA RA BR VCTS,M,M,M,0.24,29.1,29.99,7.2,19,7.8,23,250,15,200
Sunday,8/31/2014,2469,20140831,82,69,76,M,70,71,0,11,RA BR,M,M,M,0.09,29.1,29.98,5.9,20,6.2,15,210,12,220
Monday,9/1/2014,2357,20140901,81,71,76,M,71,73,0,11,RA,M,M,M,0.02,29.03,29.91,9.2,21,9.6,28,210,22,200
Tuesday,9/2/2014,17978,20140902,77,63,70,M,67,68,0,5,TSRA RA FG+ FG BR,M,M,M,2.55,29.05,29.95,1.7,25,4.6,33,300,23,290
Wednesday,9/3/2014,20313,20140903,84,59,72,M,63,65,0,7,FG+ FG BR,M,M,M,0,29.13,30.03,1,13,2,16,270,9,260
Thursday,9/4/2014,19134,20140904,87,62,75,M,67,70,0,10,BR,M,M,M,0,29.16,30.05,3.1,20,4,14,210,12,200
Friday,9/5/2014,15483,20140905,88,69,79,M,72,74,0,14, ,M,M,M,  T,29.15,30.04,5.6,21,6.3,25,320,16,310
Saturday,9/6/2014,5060,20140906,73,59,66,M,64,65,0,1,RA BR,M,M,M,  T,29.19,30.08,3,34,5,17,10,13,40
Sunday,9/7/2014,2129,20140907,76,54,65,M,54,58,0,0, ,M,M,M,  T,29.26,30.16,4.6,6,5.3,20,20,14,30
Monday,9/8/2014,19425,20140908,78,49,64,M,53,57,1,0,BR,M,M,M,0,29.19,30.08,1.6,16,2.4,15,110,12,120
Tuesday,9/9/2014,18182,20140909,79,51,65,M,59,61,0,0,BR,M,M,M,0,29.13,30.02,2.3,18,2.7,18,200,14,200
Wednesday,9/10/2014,19464,20140910,82,63,73,M,68,70,0,8,TSRA RA VCTS,M,M,M,0.77,28.93,29.8,10.1,20,11,33,220,23,200
Thursday,9/11/2014,18041,20140911,71,57,64,M,58,60,1,0,BR,M,M,M,  T,29.1,30.03,7.7,1,8.5,18,350,14,10
Friday,9/12/2014,12714,20140912,64,55,60,M,52,55,5,0,RA,M,M,M,0,29.28,30.19,5.3,2,5.7,17,20,12,20
Saturday,9/13/2014,4634,20140913,63,43,53,M,45,49,12,0, ,M,M,M,  T,29.36,30.28,4.2,1,5.8,18,360,13,20
Sunday,9/14/2014,2123,20140914,69,41,55,M,45,49,10,0,BR,M,M,M,0,29.36,30.26,0.3,9,0.9,11,140,8,120
Monday,9/15/2014,19254,20140915,66,45,56,M,51,53,9,0,TSRA RA BR VCTS,M,M,M,0.69,29.24,30.15,1.8,13,3.3,22,300,16,300
Tuesday,9/16/2014,18791,20140916,64,46,55,M,51,53,10,0,FG BR,M,M,M,0,29.23,30.14,2.9,3,4.3,16,10,12,20
Wednesday,9/17/2014,20122,20140917,67,42,55,M,47,50,10,0,FG+ FG BR,M,M,M,  T,29.14,30.04,0.8,10,1.8,12,150,9,150
Thursday,9/18/2014,18209,20140918,73,47,60,M,49,53,5,0,BR,M,M,M,0,29.15,30.06,1.9,6,2.7,14,100,12,70
Friday,9/19/2014,13120,20140919,74,45,60,M,49,54,5,0,BR,M,M,M,0,29.21,30.11,3.5,13,3.6,19,130,15,130
Saturday,9/20/2014,3460,20140920,81,51,66,M,61,63,0,1,BR,M,M,M,  T,29.11,29.98,5.3,21,5.8,24,220,17,220
Sunday,9/21/2014,2087,20140921,75,51,63,M,55,60,2,0,RA,M,M,M,0.08,29.02,29.93,6.9,29,7.9,28,280,18,280
Monday,9/22/2014,19374,20140922,68,44,56,M,45,50,9,0,BR,M,M,M,0,29.29,30.22,3.5,1,3.9,17,10,15,30
Tuesday,9/23/2014,18512,20140923,72,40,56,M,45,49,9,0,BR,M,M,M,0,29.39,30.31,1.9,8,2.5,13,130,10,60
Wednesday,9/24/2014,19363,20140924,75,41,58,M,49,53,7,0,FG BR,M,M,M,0,29.39,30.3,2.7,11,2.7,17,110,10,140
Thursday,9/25/2014,18020,20140925,79,46,63,M,51,56,2,0,BR,M,M,M,0,29.34,30.25,0.4,8,0.7,13,20,8,60
Friday,9/26/2014,12233,20140926,81,48,65,M,54,58,0,0,FG BR,M,M,M,0,29.31,30.21,1.7,9,2.2,13,150,9,120
Saturday,9/27/2014,3740,20140927,82,50,66,M,55,59,0,1,FG BR,M,M,M,0,29.28,30.17,2,10,2.4,14,110,10,90
Sunday,9/28/2014,2165,20140928,83,54,69,M,57,61,0,4,BR,M,M,M,0,29.21,30.09,0.3,10,1.2,13,40,9,30
Monday,9/29/2014,18949,20140929,82,50,66,M,53,58,0,1,BR HZ,M,M,M,0,29.1,29.99,1.4,30,2.3,13,280,10,280
Tuesday,9/30/2014,17843,20140930,75,52,64,M,55,58,1,0,BR HZ,M,M,M,0,29.04,29.94,2.8,1,3.6,13,30,12,20
Wednesday,10/1/2014,18415,20141001,79,51,65,M,55,59,0,0, ,M,M,M,0,29.07,29.96,4,11,4.6,13,60,9,120
Thursday,10/2/2014,17812,20141002,84,59,72,M,62,65,0,7,RA BR VCTS,M,M,M,0.08,29.01,29.88,6.1,16,7.3,22,190,15,170
Friday,10/3/2014,12778,20141003,73,44,59,M,55,57,6,0,RA BR,M,M,M,0.69,28.84,29.73,7.5,26,10.2,35,190,28,190
Saturday,10/4/2014,4929,20141004,54,39,47,M,33,40,18,0, ,M,M,M,  T,28.97,29.87,9,26,9.2,32,240,22,250
Sunday,10/5/2014,2217,20141005,60,36,48,M,38,44,17,0,RA,M,M,M,0.01,28.91,29.8,5.4,21,6.5,25,210,17,220
Monday,10/6/2014,18957,20141006,70,42,56,M,48,50,9,0,RA BR,M,M,M,0.26,28.82,29.73,5.3,22,6.4,33,310,21,240
Tuesday,10/7/2014,17837,20141007,64,46,55,M,53,54,10,0,RA BR VCTS,M,M,M,0.58,28.89,29.81,3.2,22,6,17,220,13,220
Wednesday,10/8/2014,18012,20141008,70,44,57,M,44,50,8,0, ,M,M,M,0,29.12,30.05,2.9,28,3.5,20,260,15,270
Thursday,10/9/2014,14764,20141009,60,44,52,M,49,51,13,0,RA,M,M,M,0.01,29.18,30.09,2.2,5,2.4,13,20,10,40
Friday,10/10/2014,1467,20141010,55,48,52,M,48,49,13,0,RA BR,M,M,M,0.28,29.15,30.06,7.4,4,7.5,18,40,14,40
Saturday,10/11/2014,1038,20141011,58,44,51,M,43,47,14,0, ,M,M,M,0,29.21,30.14,6.3,5,6.9,21,90,15,30
Sunday,10/12/2014,1148,20141012,62,45,54,M,49,51,11,0,RA BR,M,M,M,0.27,29.12,30.01,6.2,12,6.7,16,160,12,120
Monday,10/13/2014,18027,20141013,75,61,68,M,63,65,0,3,RA FG BR,M,M,M,1.26,28.95,29.82,11.4,16,12,38,240,26,230
Tuesday,10/14/2014,18029,20141014,66,55,61,M,56,58,4,0,RA BR,M,M,M,0.52,28.71,29.59,11.5,18,11.7,34,210,23,200
Wednesday,10/15/2014,19303,20141015,58,53,56,M,53,53,9,0,RA BR,M,M,M,0.32,28.81,29.72,3.5,22,6.5,17,310,13,190
