Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Monday,1/12/2015,20151,20150112,36,22,29,M,28,30,36,0,RA BR HZ,M,M,M,0.12,29.38,30.35,9.2,1,10.4,29,30,21,20
Tuesday,1/13/2015,19906,20150113,27,13,20,M,13,18,45,0,SN,M,M,M,  T,29.59,30.54,8.5,6,9,24,80,18,70
Wednesday,1/14/2015,20603,20150114,26,10,18,M,12,17,47,0,SN BR,M,M,M,  T,29.42,30.36,1.9,27,2.6,13,250,9,230
Thursday,1/15/2015,19098,20150115,37,16,27,M,19,25,38,0,BR HZ,M,M,M,0,29.26,30.18,5.1,24,5.4,17,240,13,230
Friday,1/16/2015,11418,20150116,46,24,35,M,27,31,30,0,BR HZ,M,M,M,0,29.23,30.17,2.3,23,3.5,15,220,12,240
Saturday,1/17/2015,11245,20150117,52,29,41,M,30,37,24,0,RA BR,M,M,M,  T,29.05,29.94,11,20,12.7,39,210,30,220
Sunday,1/18/2015,4049,20150118,46,27,37,M,31,35,28,0, ,M,M,M,0.03,28.99,29.93,7,26,7.6,26,280,20,260
Monday,1/19/2015,2186,20150119,53,22,38,M,26,31,27,0, ,M,M,M,0,29.07,29.98,0.7,12,1.3,13,150,10,140
Tuesday,1/20/2015,17026,20150120,52,27,40,M,32,36,25,0, ,M,M,M,0,29,29.92,3.2,28,3.5,18,290,14,290
Wednesday,1/21/2015,19239,20150121,46,28,37,M,30,34,28,0,BR,M,M,M,0,29.15,30.1,7.5,27,8.3,29,310,22,270
Thursday,1/22/2015,18188,20150122,37,32,35,M,27,32,30,0,BR,M,M,M,0,29.44,30.39,3.2,1,4.5,14,50,13,50
Friday,1/23/2015,10544,20150123,38,25,32,M,24,29,33,0, ,M,M,M,0,29.28,30.16,3.1,2,3.7,12,100,9,30
Saturday,1/24/2015,2853,20150124,42,23,33,M,27,31,32,0,BR HZ,M,M,M,0,28.9,29.81,6.9,25,7.5,19,230,14,240
Sunday,1/25/2015,1892,20150125,40,26,33,M,32,35,32,0,RA SN BR UP,M,M,M,0.1,28.77,29.69,2.5,8,7.6,26,360,21,20
Monday,1/26/2015,19135,20150126,30,22,26,M,21,25,39,0,SN BR,M,M,M,  T,29,29.93,4.8,32,6.9,27,10,22,360
Tuesday,1/27/2015,18682,20150127,31,18,25,M,23,26,40,0,SN BR HZ,M,M,M,  T,29.12,30.1,2.9,2,3.2,12,360,9,360
Wednesday,1/28/2015,19282,20150128,38,15,27,M,15,24,38,0,BR,M,M,M,0,29.33,30.25,7.6,16,7.7,24,140,18,150
Thursday,1/29/2015,18310,20150129,49,33,41,M,30,35,24,0,RA BR HZ,M,M,M,  T,29.06,30.01,6.8,26,12.5,35,270,24,290
Friday,1/30/2015,11643,20150130,36,20,28,M,19,27,37,0, ,M,M,M,  T,29.47,30.43,4.8,34,6.2,24,10,20,10
Saturday,1/31/2015,3142,20150131,40,17,29,M,21,26,36,0,RA BR UP,M,M,M,0.01,29.41,30.33,3.2,21,4.2,18,220,14,230
Sunday,2/1/2015,1856,20150201,44,32,38,M,32,35,27,0,RA SN BR,M,M,M,0.39,28.95,29.8,2.6,20,8.2,26,270,17,280
Monday,2/2/2015,20277,20150202,34,17,26,M,16,20,39,0,SN BR,M,M,M,  T,29.1,30.11,7,30,8.2,29,360,18,280
Tuesday,2/3/2015,18921,20150203,37,18,28,M,20,25,37,0, ,M,M,M,0,29.31,30.23,8.7,21,9.1,24,210,18,200
Wednesday,2/4/2015,19889,20150204,46,18,32,M,25,31,33,0,SN BR UP,M,M,M,0.07,29.18,30.12,6.7,26,10.5,25,360,21,360
Thursday,2/5/2015,19461,20150205,27,6,17,M,5,13,48,0, ,M,M,M,0,29.47,30.43,2.4,36,3.5,22,350,15,350
Friday,2/6/2015,11709,20150206,38,9,24,M,16,23,41,0, ,M,M,M,0,29.34,30.26,7,21,7.4,18,220,15,230
Saturday,2/7/2015,2674,20150207,58,34,46,M,33,40,19,0, ,M,M,M,0,29.03,29.92,12.1,21,12.2,31,230,23,220
Sunday,2/8/2015,1878,20150208,57,41,49,M,44,48,16,0,RA BR HZ,M,M,M,  T,28.84,29.74,10.6,23,12.9,33,220,23,230
Monday,2/9/2015,19606,20150209,41,27,34,M,28,30,31,0,BR,M,M,M,0,29.07,30.02,12.5,36,12.8,24,360,20,360
Tuesday,2/10/2015,18229,20150210,42,20,31,M,20,26,34,0,BR,M,M,M,0,29.24,30.17,3.7,4,5.6,18,360,15,20
Wednesday,2/11/2015,19258,20150211,42,22,32,M,26,30,33,0,RA BR HZ,M,M,M,  T,29.16,30.09,5.6,27,8,28,300,20,290
Thursday,2/12/2015,19408,20150212,29,14,22,M,11,18,43,0,SN BR,M,M,M,  T,29.34,30.32,8.5,33,9.9,26,290,18,10
Friday,2/13/2015,10738,20150213,31,8,20,M,9,17,45,0,UP,M,M,M,  T,29.37,30.29,5.5,23,6.1,22,240,18,210
Saturday,2/14/2015,2402,20150214,31,7,19,M,9,19,46,0,SN,M,M,M,  T,29.1,30.08,10.7,29,13.6,45,270,30,280
Sunday,2/15/2015,2737,20150215,22,4,13,M,-1,10,52,0,SN,M,M,M,  T,29.51,30.48,3.1,5,5.6,16,80,13,80
Monday,2/16/2015,19765,20150216,16,-1,8,M,6,10,57,0,SN BR HZ,M,M,M,0.14,29.22,30.15,6.4,6,7.1,16,100,14,90
Tuesday,2/17/2015,19004,20150217,24,-10,7,M,6,10,58,0,SN BR,M,M,M,  T,29.08,30.03,5.5,24,5.6,21,230,16,230
Wednesday,2/18/2015,20395,20150218,21,-1,10,M,4,10,55,0,SN FZFG BR HZ,M,M,M,0.11,29.07,30.05,7.6,29,9.2,32,260,22,290
Thursday,2/19/2015,18747,20150219,7,-9,-1,M,-10,-1,66,0, ,M,M,M,0,29.39,30.38,6.7,29,7.1,20,280,15,280
