day,busid,Travelto48,Dwell48,Travelto60,Dwell60,Travelto50,Dwell50,Travelto51,Dwell51,Travelto52,Dwell52,Travelto45,Dwell45,Travelto46,Dwell46,Travelto6,Dwell6,Travelto8,Dwell8,Travelto10,Dwell10,Travelto11,Dwell11,Travelto12,Dwell12,Travelto13,Dwell13,Travelto14,Dwell14,Travelto1,Dwell1,Travelto55,Dwell55,Travelto57,Dwell57,Travelto58,Dwell58,Travelto59,Dwell59,Travelto107,Dwell107,Travelto61,Dwell61,Travelto62,Dwell62
2015-01-13,636,534,13,27,38,61,42,130,58,71,44,85,113,179,56,204,46,89,56,94,36,72,30,284,76,109,28,44,49,140,37,132,23,57,32,43,37,74,13,33,17,26,27,47,23
2015-01-13,636,389,8,23,23,45,30,115,34,46,21,54,8,49,5,33,37,63,32,85,18,42,40,87,41,74,82,93,25,53,26,110,29,48,34,47,39,103,15,34,22,29,28,47,33
2015-01-13,636,1105,9,27,35,54,33,85,76,86,34,62,66,111,102,171,66,96,82,162,54,83,49,472,131,235,90,104,84,115,46,248,39,54,56,72,39,74,31,53,26,33,7,24,27
2015-01-13,636,124,7,18,34,50,12,54,45,57,19,48,37,75,20,57,34,69,32,88,31,56,26,71,39,70,56,84,30,92,30,121,22,38,47,60,43,106,15,35,24,33,24,44,23
2015-01-13,636,1053,27,41,20,44,35,83,59,76,62,102,57,127,65,136,56,100,124,225,82,111,71,157,122,166,99,131,57,343,66,343,35,53,62,75,37,69,40,61,19,29,31,51,36
2015-01-13,636,137,10,22,25,46,31,88,48,64,20,51,31,73,30,129,56,127,32,66,44,72,36,88,35,76,48,61,25,98,35,147,26,46,44,59,36,103,40,62,32,42,24,43,38
2015-01-13,636,578,35,49,24,46,16,95,42,57,20,63,33,134,28,76,50,123,49,88,41,65,54,132,49,89,65,80,43,94,48,280,41,63,83,96,55,92,41,64,19,29,29,49,49
2015-01-13,636,402,29,45,20,44,38,82,49,65,56,90,41,144,35,164,47,116,55,140,37,65,47,189,79,147,88,104,36,125,33,168,30,50,39,53,46,125,43,65,30,45,30,50,34
2015-01-13,636,354,26,39,53,75,15,67,31,47,26,64,41,107,30,92,36,65,40,76,36,67,31,92,43,77,61,77,36,193,33,118,45,64,40,55,36,75,40,62,33,43,29,48,32
2015-01-13,636,770,28,44,18,40,30,67,32,46,32,69,30,113,28,110,44,114,40,76,43,74,44,120,75,107,40,54,15,121,56,145,44,61,45,57,40,69,46,64,29,41,24,46,78
2015-01-13,636,746,16,28,23,42,12,63,10,20,10,,,,8,53,7,40,6,35,6,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,636,,,,,,,,,,,,,,558,596,73,128,32,72,54,90,33,84,41,70,71,84,30,93,36,154,24,45,45,59,31,95,44,68,22,38,27,51,32
2015-02-19,636,619,27,43,38,65,49,149,107,124,45,79,123,195,33,131,88,162,122,160,61,93,56,362,1,132,70,84,42,147,49,161,32,53,48,62,40,87,39,63,30,40,26,48,37
2015-02-19,636,156,11,27,20,44,16,135,35,50,21,51,28,78,77,119,38,67,32,83,35,59,32,81,36,67,42,57,23,68,36,161,32,54,24,37,36,117,18,41,28,38,10,32,31
2015-02-19,636,681,25,37,31,49,34,102,48,60,15,46,40,94,44,129,33,71,74,124,77,101,34,84,62,92,60,72,35,104,33,160,29,45,41,71,34,62,32,51,26,33,25,43,34
