day,busid,Travelto118,Dwell118,Travelto64,Dwell64,Travelto78,Dwell78,Travelto76,Dwell76
2015-03-09,636,,,,,,,,173
2015-03-09,636,484,56,88,62,99,33,385,48
2015-03-09,636,,,,,,,,175
2015-03-09,636,461,49,77,58,92,31,371,42
2015-03-09,636,,,,,,,,106
2015-03-09,636,373,51,80,79,131,41,370,55
2015-03-09,636,,,,,,,,128
2015-03-09,636,437,29,55,45,77,15,349,1
2015-03-09,636,,,,,,,,230
2015-03-09,636,584,56,141,89,131,50,374,1
2015-03-09,636,,,,,,,,76
2015-03-09,636,325,26,56,84,115,14,339,1
2015-03-09,636,,,,,,,,73
2015-03-09,636,381,40,63,50,80,34,334,40
2015-03-09,636,,,,,,,,102
2015-03-09,636,370,57,90,61,94,36,391,52
2015-03-09,636,,,,,,,,175
2015-03-09,636,498,62,83,50,90,41,333,2
2015-03-09,636,,,,,,,,121
2015-03-09,636,443,50,83,113,150,37,387,1
2015-03-09,636,,,,,,,,189
2015-03-09,636,520,49,71,59,89,19,354,43
2015-03-09,636,,,,,,,,243
2015-03-09,636,548,67,97,102,144,52,460,13
2015-03-09,636,,,,,,,,196
2015-03-09,636,464,55,80,114,145,34,370,13
2015-03-09,636,,,,,,,,122
2015-03-09,636,459,45,67,63,93,40,330,3
2015-03-09,636,,,,,,,,167
2015-03-09,636,503,61,85,92,123,37,434,1
2015-03-09,636,,,,,,,,162
2015-03-09,636,570,68,96,55,82,37,386,14
2015-03-09,636,,,,,,,,131
2015-03-09,636,421,55,77,77,109,51,423,54
2015-03-09,636,,,,,,,,137
2015-03-09,636,492,47,71,61,92,42,380,2
2015-03-09,636,,,,,,,,134
2015-03-09,636,466,56,86,99,130,42,473,14
2015-03-09,636,,,,,,,,118
2015-03-09,636,430,41,65,48,75,30,401,12
2015-03-09,636,,,,,,,
2015-02-26,637,,38,62,50,78,38,370,692
2015-02-26,637,1032,46,70,52,78,40,360,608
2015-02-26,637,970,20,42,36,64,30,,338
2015-02-26,637,608,44,76,54,80,18,380,54
2015-02-26,637,,,,,,,,376
2015-02-26,637,734,63,88,78,108,44,366,12
2015-02-26,637,,,,,,,,156
2015-02-26,637,446,40,64,38,64,34,344,36
2015-02-26,637,,,,,,,,230
2015-02-26,637,572,36,64,57,82,36,372,28
2015-02-26,637,,,,,,,,122
2015-02-26,637,422,42,64,66,98,54,382,2
2015-02-26,637,,,,,,,,148
2015-02-26,637,575,115,200,87,123,42,364,482
2015-02-26,637,782,34,58,36,64,16,312,2
2015-02-26,637,,,,,,,,160
2015-02-26,637,458,48,72,63,,,,2
2015-02-26,637,,,,,,,,297
2015-02-26,637,593,54,84,97,126,32,376,14
2015-02-26,637,,,,,,,,221
2015-02-26,637,639,83,110,42,70,29,319,2
2015-02-26,637,,,,,,,,324
2015-02-26,637,612,42,71,53,81,39,412,16
