FromStopIDToNext,TimeFall,TimeSpring
4 -> 6,139.5041,105.0474
6 -> 8,67.3668,72.1087
33 -> 4,124.8458,116.9174
27 -> 28,43.4477,41.1653
28 -> 29,59.8706,58.6925
25 -> 26,34.6563,32.2883
26 -> 27,42.3783,41.1589
88 -> 16,106.7478,101.2197
23 -> 24,32.9286,31.3581
24 -> 25,692.9254,778.1108
31 -> 33,56.4842,53.7356
87 -> 88,96.9747,85.7241
21 -> 22,40.1488,38.6934
22 -> 23,34.1735,32.6818
29 -> 31,46.8746,46.1364
16 -> 75,44.7141,44.12
75 -> 20,77.0548,73.9248
8 ->10,90.5029,88.3938
10 -> 87,327.05,303.3773
20 ->21,27.4401,25.3991
