stopid,TimeFall,TimeSpring
50->51,89.1557,86.9154
61->62,41.5304,38.6299
51->52,53.709,55.613
48->60,34.997,32.2159
60->50,47.6557,48.3655
107->61,34.0858,33.9666
46->6,96.928,97.1518
6->8,75.3747,71.9393
14->1,95.9732,100.4888
59->107,50.9705,49.7056
62->48,698.1461,741.5299
58->59,87.6581,87.3474
45->46,95.7864,95.1052
12->13,84.5377,80.5538
55->57,42.0723,42.9411
13->14,70.8708,67.1107
57->58,47.9708,47.5057
10->11,62.7798,63.1181
10->55,144.2587,144.1975
52->45,57.2681,59.6461
11 >12,106.0681,103.7691
8->10,87.3729,89.9905
