stopid,TimeFall,TimeSpring
3rd & Jordan,30.853,30.0143
Jordan Hall,37.9366,38.7709
Neal Marshall,41.5662,36.376
Jordan & 7th,26.8421,27.4005
Lingelbach,24.1936,23.5447
Balfour,31.4822,30.5048
Kappa Sigma,33.3805,31.7079
SRSC(),22.0616,22.367
Fisher Court(),37.7979,26.3053
ZBT,22.7099,20.9797
10th & Jordan,63.9858,62.0877
10th and Jordan(),75.6411,71.4007
Balfour(),23.0389,21.9031
ZBT(),19.7686,18.5137
Kappa Delta,21.1891,21.5117
Lingelbach(),25.5089,24.1328
Phi Kappa Sigma(),22.3318,20.607
Maurer School of Law,38.5909,39.8897
Jordan Garage,50.6492,44.0987
Chi Omega(),28.9045,27.8515
