stopid,TimeFall,TimeSpring
Union & 10th,40.8691,42.2166
Evermann Redbud,33.1461,29.5028
Union & 7th,28.1795,28.7871
Hepburn Apartment,27.6806,27.8966
Campus View,28.9818,27.9509
Bicknell(),20.5025,18.5506
3rd & Jordan,32.0602,32.5178
Jordan Hall,39.9025,40.9279
Well's Library,38.7531,39.138
Nutt Apartment(),25.8595,25.5209
Bicknell,21.1035,18.3491
Campus View(),30.0793,29.1123
Forest,30.3564,34.9252
10th & Woodlawn,55.0295,51.1641
7th & Union,36.1948,35.8279
Psychology,29.898,29.842
Eigenmann,33.2323,32.6902
Kirkwood & Indiana,38.8786,39.0883
School of Education,24.1843,25.0028
Wilkie,36.2982,36.866
IMU,49.1002,46.5825
Maurer School of Law,38.9257,38.4344
